text,label
"President signs a major healthcare bill to expand coverage",real
"Celebrity reveals secret cure that doctors don't want you to know",fake
"Local sports team wins championship after dramatic comeback",real
"New study proves that eating chocolate makes you live forever",fake
"Government announces infrastructure plan to improve roads",real
"Miracle weight loss pill burns fat without dieting",fake
"Scientists discover new species in remote rainforest",real
"Secret recipe ingredient can cure all diseases, doctors stunned",fake
"City council passes ordinance to support small businesses",real
"Ancient alien artifacts found under the pyramids, proof of extraterrestrials",fake
